Broker Pseudonym,Contract Status Type,Entry Status,In Force Today,Inception Date,Info,Policy Reference Record ID,As if policy premium,Benchmark Net Premium,Committed RRV %,Gross Written Premium Aspen Share,Incurred Claims Aspen Share,Net Written Premium Aspen Share,Technical Adequacy %,Total Acquisition cost
Gottlieb and Veum,Bound,LIVE,N,01-04-2013,i,000001,,,,36687.34,5183,32610.97,,4076.37
Gottlieb and Veum,Bound,LIVE,N,01-04-2013,i,000002,,,,38847.87,,32373.25,,6474.62
Swaniawsk-Runte,Bound,LIVE,N,05-08-2013,i,000017,,,,42903.66,,35395.52,,7508.14
Swaniawsk-Runte,Bound,LIVE,N,05-08-2013,i,000018,,,,48110.46,,37963.37,,10147.09
Swaniawsk-Runte,Bound,LIVE,N,17-08-2013,i,000025,,,,8077.7,,6664.1,,1413.6
Swaniawsk-Runte,Bound,LIVE,N,17-08-2013,i,000026,,,,7635,,6108,,1527
Wolf and Quigley,Bound,LIVE,N,30-11-2013,i,000039,,,,27950,2238.15,26552.5,,1397.5
Wolf and Quigley,Bound,LIVE,N,30-11-2013,i,000040,,,,20000,,19000,,1000
Huel Wintheiser,Bound,LIVE,N,01-05-2013,i,000053,,,,384952.11,311050.64,371478.79,,13473.32
Huel Wintheiser,Bound,LIVE,N,01-05-2013,i,000054,,,,219540.71,140214.98,211856.79,,7683.92
Rodriguez and Sons,Bound,LIVE,N,31-07-2013,i,000063,,,,20348.78,,18313.91,,2034.87
Rodriguez and Sons,Bound,LIVE,N,31-07-2013,i,000064,,,,18954.8,,16585.46,,2369.34
Huel Wintheiser,Bound,LIVE,N,01-09-2013,i,000077,,,,255991.73,40524.85,247032.02,,8959.71
Huel Wintheiser,Bound,LIVE,N,01-09-2013,i,000078,,,,270701.15,35926.26,261226.61,,9474.54
Zemlak Inc,Bound,LIVE,N,01-09-2013,i,000091,,,,33000,111410.75,26400,,6600
Zemlak Inc,Bound,LIVE,N,01-09-2013,i,000092,,,,68063.22,2340,54450.58,,13612.64
Swaniawsk-Runte,Bound,LIVE,N,31-10-2013,i,000093,,,,9246,,7627.95,,1618.05
Swaniawsk-Runte,Bound,LIVE,N,31-10-2013,i,000094,,,,8050,,6440,,1610
Ebert Inc,Bound,LIVE,N,30-09-2013,i,000107,,,,461087,537579.89,444948.96,,16138.04
Wolf and Quigley,Bound,LIVE,N,31-07-2013,i,000111,,,,95656,386575.47,92308.04,,3347.96
Wolf and Quigley,Bound,LIVE,N,31-07-2013,i,000112,,,,94572,7656.65,91261.98,,3310.02
Mills and Sons,Bound,LIVE,N,27-09-2013,i,000125,,,,2827.2428,,2403.1564,,424.0864
Mills and Sons,Bound,LIVE,N,27-09-2013,i,000126,,,,2658.4522,,2126.7618,,531.6904
Ebert Inc,Bound,LIVE,N,01-10-2013,i,000139,,,,202306.5,1347.5,195694.83,,6611.67
Ebert Inc,Bound,LIVE,N,01-10-2013,i,000140,,,,8000,1740,7720,,280
Little and Sons,Bound,LIVE,N,01-10-2013,i,000145,,,,43000,,36550,,6450
Little and Sons,Bound,LIVE,N,01-10-2013,i,000146,,,,18000,,14400,,3600
Lang Rolfson Inc,Bound,LIVE,N,01-11-2013,i,000149,,,,500,,450,,50
Lang Rolfson Inc,Bound,LIVE,N,01-11-2013,i,000150,,,,14500,,13050,,1450
"Kozey, Streich and Deckow",Bound,LIVE,N,04-10-2013,i,000155,,,,21500,,17200,,4300
Bradtke-Lind,Bound,LIVE,N,20-10-2013,i,000160,,,,87750,99690.61,76781.25,,10968.75
Bradtke-Lind,Bound,LIVE,N,20-10-2013,i,000161,,,,8890,,7778.75,,1111.25
Swaniawsk-Runte,Bound,LIVE,N,01-04-2013,i,000174,,,,12850,1205,10601.25,,2248.75
Swaniawsk-Runte,Bound,LIVE,N,01-04-2013,i,000175,,,,11100,,8880,,2220
Bradtke-Lind,Bound,LIVE,N,31-10-2013,i,000182,,,,134919.65,1031701.16,134919.65,,0
Bradtke-Lind,Bound,LIVE,N,31-10-2013,i,000183,,,,77268.9,,77268.9,,0
Bradtke-Lind,Bound,LIVE,N,01-11-2013,i,000196,,,,10063.25,200,8302.18,,1761.07
Bradtke-Lind,Bound,LIVE,N,01-11-2013,i,000197,,,,21834.1,21,16921.42,,4912.68
Kling and O'Kon,Bound,LIVE,N,01-11-2013,i,000210,,,,19178.3157,194607.2292,15822.1105,,3356.2052
Kling and O'Kon,Bound,LIVE,N,01-11-2013,i,000211,,,,3835.6631,,2972.6389,,863.0242
Gottlieb and Veum,Bound,LIVE,N,01-03-2013,i,000224,,,,43480,33182.72,33458.99,,10021.01
Gottlieb and Veum,Bound,LIVE,N,01-03-2013,i,000225,,,,49540,,37155,,12385
Lang Rolfson Inc,Bound,LIVE,N,01-03-2013,i,000240,,,,204840.12,85308.53,184356.11,,20484.01
Ebert Inc,Bound,LIVE,N,01-04-2013,i,000246,,,,31811,126256.58,30697.62,,1113.38
Ebert Inc,Bound,LIVE,N,01-04-2013,i,000247,,,,5000,,4825,,175
Ebert Inc,Bound,LIVE,N,01-04-2013,i,000262,,,,23800,,22967,,833
Ebert Inc,Bound,LIVE,N,01-04-2013,i,000263,,,,5000,,4825,,175
Zemlak Inc,Bound,LIVE,N,12-04-2013,i,000278,,,,96000,40680.2,93600,,2400
Zemlak Inc,Bound,LIVE,N,12-04-2013,i,000279,,,,32000,,31200,,800
Swaniawsk-Runte,Bound,LIVE,N,30-04-2013,i,000294,,,,24000,,19800,,4200
Swaniawsk-Runte,Bound,LIVE,N,30-04-2013,i,000295,,,,8000,7468.9,6400,,1600
Bergnaum Group,Bound,LIVE,N,30-04-2013,i,000310,,,,41330,1872,39883.45,,1446.55
Bergnaum Group,Bound,LIVE,N,30-04-2013,i,000311,,,,8500,7791,8202.5,,297.5
"Kozey, Streich and Deckow",Bound,LIVE,N,17-05-2013,i,000324,,,,14000,,11550,,2450
"Kozey, Streich and Deckow",Bound,LIVE,N,17-05-2013,i,000325,,,,14000,,10850,,3150
Klein Group,Bound,LIVE,N,01-06-2013,i,000340,,,,516000,572060.5,516000,,0
Klein Group,Bound,LIVE,N,01-06-2013,i,000341,,,,34000,3128.76,34000,,0
Swaniawsk-Runte,Bound,LIVE,N,30-06-2013,i,000348,,,,59000,8599.1,50150,,8850
Swaniawsk-Runte,Bound,LIVE,N,30-06-2013,i,000349,,,,18000,,15300,,2700
Jones-Willms,Bound,LIVE,N,10-06-2013,i,000362,,,,44100,,36382.5,,7717.5
Jones-Willms,Bound,LIVE,N,10-06-2013,i,000363,,,,12900,,10642.5,,2257.5
Bergnaum Group,Bound,LIVE,N,01-06-2013,i,000376,,,,79994,26765.41,79994,,0
Bergnaum Group,Bound,LIVE,N,01-06-2013,i,000377,,,,36000,7096,36000,,0
Kling and O'Kon,Bound,LIVE,N,25-06-2013,i,000386,,,,30000,,25500,,4500
